date,nav,daily_return
start,1.0,0.0
2025-04-28,1.0,0.0
2025-04-29,1.0,0.0
2025-04-30,1.0,0.0
2025-05-06,1.0,0.0
2025-05-07,1.0,0.0
2025-05-08,1.0,0.0
2025-05-09,1.0,0.0
2025-05-12,1.0,0.0
2025-05-13,1.0,0.0
2025-05-14,1.0,0.0
2025-05-15,1.0,0.0
2025-05-16,1.0,0.0
2025-05-19,1.0,0.0
2025-05-20,1.0,0.0
2025-05-21,1.0,0.0
2025-05-22,1.0,0.0
2025-05-23,1.0,0.0
2025-05-26,1.0,0.0
2025-05-27,1.0,0.0
2025-05-28,1.0,0.0
2025-05-29,1.0,0.0
2025-05-30,1.0,0.0
2025-06-03,1.0,0.0
2025-06-04,1.0,0.0
2025-06-05,1.0,0.0
2025-06-06,1.0,0.0
2025-06-09,1.0,0.0
2025-06-10,1.0,0.0
2025-06-11,1.0,0.0
2025-06-12,1.0,0.0
2025-06-13,1.0,0.0
2025-06-16,1.0,0.0
2025-06-17,1.0,0.0
2025-06-18,1.0,0.0
2025-06-19,1.0,0.0
2025-06-20,1.0,0.0
2025-06-23,1.0,0.0
2025-06-24,1.0,0.0
2025-06-25,1.0,0.0
2025-06-26,1.0,0.0
2025-06-27,1.0,0.0
2025-06-30,1.0,0.0
2025-07-01,1.0,0.0
2025-07-02,1.0,0.0
2025-07-03,1.0,0.0
2025-07-04,1.0,0.0
2025-07-07,1.0,0.0
2025-07-08,1.0,0.0
2025-07-09,1.0,0.0
2025-07-10,1.0,0.0
2025-07-11,1.0,0.0
2025-07-14,1.0,0.0
2025-07-15,1.0,0.0
2025-07-16,1.0,0.0
2025-07-17,1.0,0.0
2025-07-18,1.0,0.0
2025-07-21,1.0,0.0
2025-07-22,1.0,0.0
2025-07-23,1.0,0.0
2025-07-24,1.0,0.0
2025-07-25,1.0,0.0
2025-07-28,1.0,0.0
2025-07-29,1.0,0.0
2025-07-30,1.0,0.0
2025-07-31,1.0,0.0
2025-08-01,1.0,0.0
2025-08-04,1.0,0.0
2025-08-05,1.0,0.0
2025-08-06,1.0,0.0
2025-08-07,1.0,0.0
2025-08-08,1.0,0.0
2025-08-11,1.0,0.0
2025-08-12,1.0,0.0
2025-08-13,1.0,0.0
2025-08-14,1.0,0.0
2025-08-15,1.0,0.0
2025-08-18,1.0,0.0
2025-08-19,1.0,0.0
2025-08-20,1.0,0.0
2025-08-21,1.0,0.0
2025-08-22,1.0,0.0
2025-08-25,1.0,0.0
2025-08-26,1.0,0.0
2025-08-27,1.0,0.0
2025-08-28,1.0,0.0
2025-08-29,1.0,0.0
2025-09-01,1.0,0.0
2025-09-02,1.0,0.0
2025-09-03,1.0,0.0
2025-09-04,1.0,0.0
2025-09-05,1.0,0.0
2025-09-08,1.0,0.0
2025-09-09,1.0,0.0
2025-09-10,1.0,0.0
2025-09-11,1.0,0.0
2025-09-12,1.0,0.0
2025-09-15,1.0,0.0
2025-09-16,1.0,0.0
2025-09-17,1.0,0.0
2025-09-18,1.0,0.0
2025-09-19,1.0,0.0
2025-09-22,1.0,0.0
2025-09-23,1.0,0.0
2025-09-24,1.0,0.0
2025-09-25,1.0,0.0
2025-09-26,1.0,0.0
2025-09-29,1.0,0.0
2025-09-30,1.0,0.0
2025-10-09,1.030512,3.0512
2025-10-10,1.000062,-2.9548
2025-10-13,1.124487,12.4417
2025-10-14,1.041537,-7.3767
2025-10-15,1.019487,-2.1171
2025-10-16,0.996975,-2.2082
2025-10-17,1.151623,15.5118
2025-10-20,1.183303,2.7509
2025-10-21,1.152327,-2.6178
2025-10-22,1.107975,-3.8489
2025-10-23,1.166407,5.2738
2025-10-24,1.19273,2.2567
2025-10-27,1.244671,4.3548
2025-10-28,1.160671,-6.7488
2025-10-29,1.226431,5.6657
2025-10-30,1.166863,-4.857
2025-10-31,1.072687,-8.0709
2025-11-03,1.059191,-1.2581
2025-11-04,1.077993,1.7751
2025-11-05,1.058718,-1.788
2025-11-06,1.077479,1.772
2025-11-07,1.100609,2.1467
2025-11-10,1.159205,5.324
2025-11-11,1.148873,-0.8912
2025-11-12,1.109792,-3.4017
2025-11-13,1.1108,0.0908
2025-11-14,1.059392,-4.628
2025-11-17,1.030412,-2.7355
2025-11-18,1.02134,-0.8804
2025-11-19,1.015905,-0.5321
2025-11-20,0.987267,-2.819
2025-11-21,1.007103,2.0092
2025-11-24,1.038423,3.1099
2025-11-25,1.017021,-2.061
2025-11-26,1.073397,5.5433
2025-11-27,1.054635,-1.7478
2025-11-28,1.039793,-1.4074
2025-12-01,1.022279,-1.6844
2025-12-02,0.979187,-4.2153
2025-12-03,0.95594,-2.3741
2025-12-04,0.932756,-2.4253
2025-12-05,0.933341,0.0628
2025-12-08,0.971596,4.0987
2025-12-09,0.984899,1.3692
2025-12-10,0.926667,-5.9125
2025-12-11,0.941225,1.571
2025-12-12,0.926667,-1.5467
2025-12-15,0.916494,-1.0978
2025-12-16,0.923938,0.8123
2025-12-17,0.906786,-1.8564
2025-12-18,0.922062,1.6846
2025-12-19,0.920722,-0.1453
2025-12-22,0.911342,-1.0188
2025-12-23,0.911554,0.0233
2025-12-24,0.911554,0.0
2025-12-25,0.911554,0.0
2025-12-26,0.911554,0.0
2025-12-29,0.911554,0.0
2025-12-30,0.911554,0.0
2025-12-31,0.995464,9.2051
2026-01-05,1.01684,2.1473
2026-01-06,0.993971,-2.249
2026-01-07,0.961911,-3.2254
2026-01-08,0.989841,2.9036
2026-01-09,1.056648,6.7493
2026-01-12,1.079934,2.2038
2026-01-13,1.018434,-5.6948
2026-01-14,1.030082,1.1437
2026-01-15,1.064578,3.3489
2026-01-16,1.119682,5.1761
2026-01-19,1.09325,-2.3607
2026-01-20,1.089978,-0.2993
2026-01-21,1.09145,0.135
2026-01-22,1.12034,2.6469
2026-01-23,1.087238,-2.9546
2026-01-26,1.064828,-2.0612
2026-01-27,1.059104,-0.5376
2026-01-28,1.066321,0.6814
2026-01-29,1.118568,4.8998
2026-01-30,1.166242,4.2621
2026-02-02,1.129458,-3.1541
2026-02-03,1.117358,-1.0713
2026-02-04,1.008216,-9.7679
2026-02-05,0.981412,-2.6585
2026-02-06,1.010037,2.9167
2026-02-09,1.01941,0.928
2026-02-10,0.996338,-2.2633
2026-02-11,0.982639,-1.3749
2026-02-12,0.979755,-0.2935
2026-02-13,0.975218,-0.463
2026-02-24,0.944493,-3.1506
2026-02-25,0.938084,-0.6786
2026-02-26,0.927528,-1.1253
2026-02-27,0.944116,1.7884
2026-03-02,0.906793,-3.9532
2026-03-03,0.910061,0.3604
2026-03-04,0.818517,-10.059
2026-03-05,0.790569,-3.4145
2026-03-06,0.775225,-1.9409
2026-03-09,0.758511,-2.156
2026-03-10,0.780157,2.8537
2026-03-11,0.778616,-0.1976
2026-03-12,0.799157,2.6381
2026-03-13,0.762449,-4.5933
2026-03-16,0.751809,-1.3955
2026-03-17,0.716697,-4.6703
2026-03-18,0.735317,2.598
2026-03-19,0.719208,-2.1908
2026-03-20,0.687931,-4.3487
2026-03-23,0.615511,-10.5272
2026-03-24,0.635146,3.19
2026-03-25,0.632596,-0.4015
2026-03-26,0.630301,-0.3628
2026-03-27,0.622326,-1.2654
2026-03-30,0.621069,-0.2019
2026-03-31,0.589659,-5.0574
2026-04-01,0.616539,4.5586
2026-04-02,0.655779,6.3646
2026-04-03,0.724449,10.4715
2026-04-07,0.721653,-0.3861
2026-04-08,0.693099,-3.9568
2026-04-09,0.721278,4.0657
2026-04-10,0.726765,0.7607
2026-04-13,0.707762,-2.6147
2026-04-14,0.719697,1.6863
2026-04-15,0.712571,-0.9901
2026-04-16,0.743387,4.3247
2026-04-17,0.829979,11.6483
2026-04-20,0.836129,0.741
2026-04-21,0.811529,-2.9421
2026-04-22,0.798491,-1.6066
2026-04-23,0.790361,-1.0183
2026-04-24,0.788377,-0.2509
2026-04-27,0.794305,0.7519
2026-04-28,0.811777,2.1997
2026-04-29,0.814273,0.3075
2026-04-30,0.808033,-0.7663
2026-05-06,0.822864,1.8354
2026-05-07,0.892425,8.4535
2026-05-08,0.914367,2.4587
2026-05-11,1.017821,11.3143
2026-05-12,1.014831,-0.2938
2026-05-13,1.041971,2.6743
2026-05-14,1.031788,-0.9773
2026-05-15,0.983082,-4.7205
2026-05-18,1.012665,3.0092
2026-05-19,1.035501,2.255
2026-05-20,1.048476,1.253
2026-05-21,1.143972,9.1081
2026-05-22,1.194749,4.4387
2026-05-25,1.194749,0.0
2026-05-26,1.194749,0.0
2026-05-27,1.194749,0.0
2026-05-28,1.194749,0.0
2026-05-29,1.194749,0.0
2026-06-01,1.194749,0.0
2026-06-02,1.5884,32.9484
